iter	Passed	Remaining
0	2	203
1	3	183
2	5	164
3	6	149
4	7	143
5	8	139
6	10	136
7	11	133
8	12	130
9	14	128
10	17	138
11	18	137
12	19	133
13	21	131
14	22	129
15	24	126
16	25	123
17	26	121
18	28	119
19	29	117
20	31	118
21	33	118
22	34	116
23	36	114
24	37	112
25	39	111
26	40	109
27	41	107
28	43	105
29	44	103
30	46	103
31	48	102
32	49	100
33	51	99
34	52	97
35	54	96
36	55	94
37	57	93
38	58	91
39	60	90
40	61	89
41	62	86
42	64	85
43	65	83
44	67	82
45	68	80
46	70	79
47	71	77
48	73	76
49	74	74
50	76	73
51	78	72
52	79	70
53	81	69
54	82	67
55	83	65
56	85	64
57	86	62
58	88	61
59	89	59
60	91	58
61	93	57
62	94	55
63	96	54
64	97	52
65	99	51
66	100	49
67	101	47
68	103	46
69	105	45
70	106	43
71	108	42
72	109	40
73	110	38
74	112	37
75	113	35
76	114	34
77	116	32
78	117	31
79	120	30
80	122	28
81	123	27
82	125	25
83	127	24
84	128	22
85	129	21
86	130	19
87	132	18
88	134	16
89	136	15
90	137	13
91	138	12
92	140	10
93	141	9
94	142	7
95	143	5
96	145	4
97	146	2
98	148	1
99	150	0
